S value, MergeSort, InsertionMergeSort, Difference
5,18674088,18261719,-412369
10,18674088,18422807,-251281
15,18674088,19141051,466963
20,18674088,19443254,769166
25,18674088,19443254,769166
30,18674088,20779415,2105327
35,18674088,22323943,3649855
40,18674088,22323943,3649855
45,18674088,22323943,3649855
50,18674088,22323943,3649855
55,18674088,22323943,3649855
60,18674088,22323943,3649855
65,18674088,28979182,10305094
70,18674088,28979182,10305094
75,18674088,28979182,10305094
80,18674088,28979182,10305094
85,18674088,28979182,10305094
90,18674088,28979182,10305094
95,18674088,28979182,10305094
100,18674088,28979182,10305094
