"V","Array with Adjacency Matrix Number of Comparisons","MinHeap with Adjacency List Number of Comparisons","Difference (array - heap)"
"10","100","60","40"
"15","225","161","64"
"20","400","289","111"
"25","625","457","168"
"30","900","882","18"
"35","1225","1281","-56"
"40","1600","1373","227"
"45","2025","1830","195"
"50","2500","2277","223"
"55","3025","2930","95"
"60","3600","3448","152"
"65","4225","4685","-460"
"70","4900","4884","16"
"75","5625","5810","-185"
"80","6400","6521","-121"
"85","7225","7547","-322"
"90","8100","8594","-494"
"95","9025","10656","-1631"
"100","10000","10506","-506"
"105","11025","11527","-502"
"110","12100","13160","-1060"
"115","13225","14307","-1082"
"120","14400","16492","-2092"
"125","15625","17130","-1505"
"130","16900","17983","-1083"
"135","18225","21437","-3212"
"140","19600","22441","-2841"
"145","21025","25012","-3987"
"150","22500","26688","-4188"
"155","24025","28202","-4177"
"160","25600","28591","-2991"
"165","27225","31597","-4372"
"170","28900","32181","-3281"
"175","30625","34791","-4166"
"180","32400","36838","-4438"
"185","34225","39623","-5398"
"190","36100","42894","-6794"
"195","38025","43382","-5357"
"200","40000","47050","-7050"
